SUBCAT,DESCRICAO
B965,"Pseudomonas (aeruginosa) (mallei) (pseudomallei), as a cause of diseases classified in other chapters"
B966,"Bacillus fragilis [B. fragilis], as a cause of diseases classified in other chapters"
B967,"Clostridium perfringens [C. perfringens], as a cause of diseases classified in other chapters"
B968,Other bacterial agents specified as a cause of diseases classified in other chapters
B970,"Adenovirus, as a cause of diseases classified in other chapters"
B971,"Enteroviruses, as a cause of diseases classified in other chapters"
B972,"Coronavirus, as a cause of diseases classified in other chapters"
B973,"Retroviruses, as a cause of diseases classified in other chapters"
B974,#CONNECT!
B975,"Reovirus, as a cause of diseases classified in other chapters"
B976,"Parvovirus, as a cause of diseases classified in other chapters"
B977,"Papillomavirus, as a cause of diseases classified in other chapters"
B978,"Other viral agents, as a cause of diseases classified in other chapters"
B99,"Infectious diseases, other and unspecified"
C000,Malignant neoplasm of the external upper lip
C001,Malignant neoplasm of the outer lower lip
C002,"Malignant neoplasm of the outer lip, unspecified"
C003,"Malignant neoplasm of the upper lip, inner surface"
C004,"Malignant neoplasm of the lower lip, inner surface"
C005,"Malignant neoplasm of the lip, unspecified, inner surface"
C006,Malignant neoplasm of the labial commissure
C008,Malignant neoplasm of the lip with invasive lesion
C009,"Malignant neoplasm of the lip, unspecified"
C01,Malignant neoplasm of the base of the tongue
C020,Malignant neoplasm of the dorsal aspect of the tongue
C021,Malignant neoplasm of the tongue rim
C022,Malignant neoplasm of the ventral surface of the tongue
C023,"Malignant neoplasm of the anterior two-thirds of the tongue, part unspecified"
C024,Malignant neoplasm of the lingual tonsil
C028,Malignant neoplasm of the tongue with invasive lesion
C029,"Malignant neoplasm of tongue, unspecified"
C030,Malignant neoplasm of the upper gingiva
C031,Malignant neoplasm of the lower gingiva
C039,"Malignant neoplasm of the gingiva, unspecified"
C040,Malignant neoplasm of the anterior floor of the mouth
C041,Malignant neoplasm of the lateral floor of the mouth
C048,Malignant neoplasm of the floor of the mouth with invasive lesion
C049,"Malignant neoplasm of the floor of the mouth, unspecified"
C050,Malignant neoplasm of the hard palate
C051,Malignant neoplasm of the soft palate
C052,#CONNECT!
C058,Malignant neoplasm of the palate with invasive lesion
C059,"Malignant neoplasm of the palate, unspecified"
C060,Malignant neoplasm of the oral mucosa
C061,Malignant neoplasm of the vestibule of the mouth
C062,Malignant neoplasm of the retromolar area
C068,Malignant neoplasm of other parts and of unspecified parts of the mouth with invasive lesion
C069,"Malignant neoplasm of the mouth, unspecified"
C07,Malignant neoplasm of the parotid gland
C080,Malignant neoplasm of the submandibular gland
C081,Malignant neoplasm of the sublingual gland
C088,Malignant neoplasm of the major salivary glands with invasive lesion
C089,"Malignant neoplasm of the greater salivary gland, unspecified"
C090,Malignant neoplasm of the tonsillar fossa
C091,Malignant neoplasm of the tonsillar pillar (anterior) (posterior)
C098,Malignant neoplasm of the tonsils with invasive lesion
C099,"Malignant neoplasm of the tonsil, unspecified"
C100,Malignant neoplasm of the vallecula
C101,Malignant neoplasm of the anterior aspect of the epiglottis
C102,Malignant neoplasm of the lateral wall of the oropharynx
C103,Malignant neoplasm of the posterior wall of the oropharynx
C104,Malignant neoplasm of the branchial cleft
C108,Malignant neoplasm of the oropharynx with invasive lesion
C109,"Malignant neoplasm of the oropharynx, unspecified"
C110,Malignant neoplasm of the upper wall of the nasopharynx
C111,Malignant neoplasm of the posterior wall of the nasopharynx
C112,Malignant neoplasm of the lateral wall of the nasopharynx
C113,Malignant neoplasm of the anterior wall of the nasopharynx
C118,Malignant neoplasm of the nasopharynx with invasive lesion
C119,"Nasopharyngeal malignancy, unspecified"
C12,Malignant neoplasm of the piriformis sinus
C130,Malignant neoplasm of the postcricoid region
C131,#CONNECT!
C132,Malignant neoplasm of the posterior wall of the hypopharynx
C138,Malignant neoplasm of the hypopharynx with invasive lesion
C139,"Malignant neoplasm of the hypopharynx, unspecified"
C140,"Malignant neoplasm of the pharynx, unspecified"
C142,Malignant neoplasm of the Waldeyer ring
C148,"Malignant neoplasm of the lip, oral cavity, and pharynx with invasive lesion"
C150,Malignant neoplasm of the cervical portion of the esophagus (cervical esophagus)
C151,Malignant neoplasm of the thoracic portion of the esophagus (thoracic esophagus)
C152,Malignant neoplasm of the abdominal portion of the esophagus (abdominal esophagus)
C153,Malignant neoplasm of the upper third of the esophagus
C154,Malignant neoplasm of the middle third of the esophagus
C155,Malignant neoplasm of the lower third of the esophagus
C158,Malignant neoplasm of the esophagus with invasive lesion
C159,"Malignant neoplasm of the esophagus, unspecified"
C160,Malignant neoplasm of the cardia
C161,Malignant neoplasm of the lower stomach
C162,Malignant neoplasm of the stomach body
C163,Malignant neoplasm of the pyloric antrum
C164,Malignant neoplasm of the pylorus
C165,"Malignant neoplasm of the lesser curvature of the stomach, unspecified"
C166,"Malignant neoplasm of the greater curvature of the stomach, unspecified"
C168,Malignant neoplasm of the stomach with invasive lesion
C169,"Malignant neoplasm of the stomach, unspecified"
C170,Malignant neoplasm of the duodenum
C171,Malignant neoplasm of the jejunum
C172,Malignant neoplasm of the ileum
C173,Malignant neoplasm of Meckel's diverticulum
C178,Malignant neoplasm of the small intestine with invasive lesion
C179,"Malignant neoplasm of the small intestine, unspecified"
C180,Malignant neoplasm of the cecum
C181,Malignant neoplasm of the appendix (vermiform)
C182,#CONNECT!
C183,Malignant neoplasm of hepatic flexiure (angle)
C184,Malignant neoplasm of the transverse colon
C185,Malignant neoplasm of the splenic flexiure (angle)
C186,Malignant neoplasm of the descending colon
C187,Malignant neoplasm of the sigmoid colon
C188,Malignant neoplasm of the colon with invasive lesion
C189,"Malignant neoplasm of the colon, unspecified"
C19,Malignant neoplasm of the rectosigmoid junction
C20,Malignant neoplasm of the rectum
C210,"Malignant neoplasm of the anus, unspecified"
C211,Malignant neoplasm of the anal canal
C212,Malignant neoplasm of the cloacogenic zone
C218,"Malignant neoplasm of the rectum, anus, and anal canal with invasive lesion"
C220,Liver cell carcinoma
C221,Carcinoma of the intrahepatic bile ducts
C222,Hepatoblastoma
C223,Angiosarcoma of the liver
C224,Other liver sarcomas
C227,Other specified carcinomas of the liver
C229,"Malignant neoplasm of the liver, unspecified"
C23,Malignant gallbladder neoplasm
C240,Malignant neoplasm of the extrahepatic bile ducts
C241,Malignant neoplasm of the ampulla of Vater
C248,Malignant neoplasm of the bile ducts with invasive lesion
C249,"Malignant neoplasm of the bile duct, unspecified"
C250,Malignant neoplasm of the head of the pancreas
C251,Malignant neoplasm of the body of the pancreas
C252,Malignant neoplasm of the tail of the pancreas
C253,Malignant neoplasm of the pancreatic canal
C254,Malignant neoplasm of the endocrine pancreas
C257,Malignant neoplasm of other parts of the pancreas
C258,#CONNECT!
C259,"Malignant neoplasm of the pancreas, unspecified"
C260,"Malignant neoplasm of intestinal tract, part unspecified"
C261,Malignant neoplasm of the spleen
C268,Malignant neoplasm of the digestive system with invasive lesion
C269,Malignant neoplasm of ill-defined locations within the digestive tract
C300,Malignant neoplasm of the nasal cavity
C301,Malignant neoplasm of the middle ear
C310,Malignant neoplasm of the maxillary sinus
C311,Malignant neoplasm of the ethmoid sinus
C312,Malignant neoplasm of the frontal sinus
C313,Malignant neoplasm of the sphenoid sinus
C318,Malignant neoplasm of the sinuses with invasive lesion
C319,"Malignant sinus neoplasm, unspecified"
C320,Malignant neoplasm of the glottis
C321,Malignant neoplasm of the supraglottic region
C322,Malignant neoplasm of the subglottic region
C323,Malignant neoplasm of the laryngeal cartilages
C328,Malignant neoplasm of the larynx with invasive lesion
C329,"Malignant neoplasm of the larynx, unspecified"
C33,Malignant neoplasm of the trachea
C340,Malignant neoplasm of the main bronchus
C341,"Malignant neoplasm of the upper lobe, bronchus, or lung"
C342,"Malignant neoplasm of the middle lobe, bronchus, or lung"
C343,"Malignant neoplasm of the lower lobe, bronchus, or lung"
C348,Malignant neoplasm of the bronchi and lungs with invasive lesion
C349,"Malignant neoplasm of the bronchi or lungs, unspecified"
C37,Malignant neoplasm of the thymus
C380,Malignant neoplasm of the heart
C381,Malignant neoplasm of the anterior mediastinum
C382,Malignant neoplasm of the posterior mediastinum
C383,"Malignant neoplasm of the mediastinum, unspecified portion"
C384,Malignant neoplasm of the pleura
C388,"Malignant neoplasm of the heart, mediastinum, and pleura with invasive lesion"
C390,"Malignant neoplasm of the upper respiratory tract, unspecified portion"
C398,Malignant neoplasm of the respiratory system and intrathoracic organs with invasive lesion
C399,Malignant neoplasm of ill-defined locations of the respiratory system
C400,Malignant neoplasm of the shoulder blade [scapula] and long bones of the upper extremities
C401,Malignant neoplasm of the short bones of the upper limbs
C402,Malignant neoplasm of the long bones of the lower limbs
C403,Malignant neoplasm of the short bones of the lower limbs
C408,Malignant neoplasm of the bones and articular cartilage of the limbs with invasive lesion
C409,Malignant neoplasm of the bones and articular cartilage of the unspecified limb
C410,Malignant neoplasm of the bones of the skull and face
C411,Malignant neoplasm of the mandible
C412,Malignant neoplasm of the spine
C413,"Malignant neoplasm of the ribs, sternum, and clavicle"
C414,"Malignant neoplasm of the bones of the pelvis, sacrum, and coccyx"
C418,Malignant neoplasm of bones and articular cartilage with invasive lesion
C419,"Malignant neoplasm of bone and articular cartilage, unspecified"
C430,Malignant melanoma of the lip
C431,"Malignant melanoma of the eyelid, including eyelid commissures"
C432,Malignant melanoma of the ear and external auditory canal
C433,Malignant melanoma of other parts and unspecified parts of the face
C434,Malignant melanoma of the scalp and neck
C435,Malignant melanoma of the trunk
C436,"Malignant melanoma of the upper extremity, including shoulder"
C437,"Malignant melanoma of the lower extremity, including hip"
C438,Invasive malignant melanoma of the skin
C439,"Malignant melanoma of the skin, unspecified"
C440,Malignant neoplasm of lip skin
C441,"Malignant neoplasm of the skin of the eyelid, including the corner"
C442,Malignant neoplasm of the skin of the ear and external auditory canal
C443,Malignant neoplasm of the skin of other parts and of unspecified parts of the face
C444,Malignant neoplasm of the skin of the scalp and neck
C445,Malignant neoplasm of the skin of the trunk
C446,"Malignant neoplasm of the skin of the upper extremity, including shoulder"
C447,"Malignant neoplasm of the skin of the lower extremity, including hip"
C448,Malignant neoplasm of the skin with invasive lesion
C449,"Malignant neoplasm of the skin, unspecified"
C450,Pleural mesothelioma
C451,Mesothelioma of the peritoneum
C452,Mesothelioma of the pericardium
C457,Mesothelioma from other locations
C459,"Mesothelioma, unspecified"
C460,Kaposi's sarcoma of the skin
C461,"Kaposi's sarcoma, soft tissue"
C462,Kaposi's sarcoma of the palate
C463,Kaposi's sarcoma of the lymph nodes
C467,Kaposi's sarcoma from other locations
C468,Multi-organ Kaposi's sarcoma
C469,"Kaposi's sarcoma, unspecified"
C470,"Malignant neoplasm of the peripheral nerves of the head, face, and neck"
C471,"Malignant neoplasm of the peripheral nerves of the upper extremities, including shoulder"
C472,"Malignant neoplasm of the peripheral nerves of the lower extremities, including hip"
C473,Malignant neoplasm of the peripheral nerves of the chest
C474,Malignant neoplasm of the peripheral nerves of the abdomen
C475,Malignant neoplasm of the peripheral nerves of the pelvis
C476,Malignant neoplasm of the peripheral nerves of the trunk
C478,Malignant neoplasm of peripheral nerves and autonomic nervous system with invasive lesion
C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
C480,Malignant neoplasm of the retroperitoneum
C481,Malignant neoplasm of specified parts of the peritoneum
C482,Malignant neoplasm of the peritoneum
C488,Malignant neoplasm of the soft tissues of the retroperitoneum and peritoneum with invasive lesion
C490,"Malignant neoplasm of the connective tissue and soft tissues of the head, face, and neck"
C491,"Malignant neoplasm of the connective tissue and soft tissues of the upper extremities, including shoulder"
